stock,by,R,S
Chilko-Sockeye,1948,1947973,364597
Chilko-Sockeye,1949,623138,33029
Chilko-Sockeye,1950,205875,6555
Chilko-Sockeye,1951,752327,57563
Chilko-Sockeye,1952,1858476,233628
Chilko-Sockeye,1953,619456,94471
Chilko-Sockeye,1954,712749,21247
Chilko-Sockeye,1955,1513275,75834
Chilko-Sockeye,1956,2435670,368607
Chilko-Sockeye,1957,138228,83128
Chilko-Sockeye,1958,433371,70433
Chilko-Sockeye,1959,2212583,272891
Chilko-Sockeye,1960,1053335,244864
Chilko-Sockeye,1961,69453,15038
Chilko-Sockeye,1962,985562,42125
Chilko-Sockeye,1963,1206303,57207
Chilko-Sockeye,1964,2040082,131590
Chilko-Sockeye,1965,158944,20813
Chilko-Sockeye,1966,889200,107541
Chilko-Sockeye,1967,2004710,90006
Chilko-Sockeye,1968,2476069,181912
Chilko-Sockeye,1969,402359,25519
Chilko-Sockeye,1970,694456,50923
Chilko-Sockeye,1971,852842,97365
Chilko-Sockeye,1972,2109574,332353
Chilko-Sockeye,1973,248297,30231
Chilko-Sockeye,1974,712467,71127
Chilko-Sockeye,1975,1513636,133782
Chilko-Sockeye,1976,1699113,228326
Chilko-Sockeye,1977,199200,20385
Chilko-Sockeye,1978,1265579,85570
Chilko-Sockeye,1979,1721513,147920
Chilko-Sockeye,1980,4441927,293234
Chilko-Sockeye,1981,208706,20164
Chilko-Sockeye,1982,1599217,142515
Chilko-Sockeye,1983,2119741,213715
Chilko-Sockeye,1984,676358,283152
Chilko-Sockeye,1985,572968,34979
Chilko-Sockeye,1986,4800439,165504
Chilko-Sockeye,1987,4420836,268111
Chilko-Sockeye,1988,3296360,206206
Chilko-Sockeye,1989,3117371,42811
Chilko-Sockeye,1990,2628585,497991
Chilko-Sockeye,1991,1382549,597537
Chilko-Sockeye,1992,1866349,319959
Chilko-Sockeye,1993,3963871,322298
Chilko-Sockeye,1994,1419987,253976
Chilko-Sockeye,1995,1274336,298027
Chilko-Sockeye,1996,1363890,504469
Chilko-Sockeye,1997,885013,509298
Chilko-Sockeye,1998,536366,467624
Chilko-Sockeye,1999,1570589,432565
Chilko-Sockeye,2000,501890,395559
Chilko-Sockeye,2001,1158636,331244
Chilko-Sockeye,2002,1239287,215050
Chilko-Sockeye,2003,386062,334896
Chilko-Sockeye,2004,426764,49193
Chilko-Sockeye,2005,363559,285065
Chilko-Sockeye,2006,5066618,261918
Chilko-Sockeye,2007,1133079,156518
Chilko-Sockeye,2008,538455,68731
Chilko-Sockeye,2009,1839231,127367
Chilko-Sockeye,2010,2917407,1181540
Chilko-Sockeye,2011,877007,457653
Chilko-Sockeye,2012,224737,90759
Chilko-Sockeye,2013,487594,624483
Chilko-Sockeye,2014,1643852,669181
Chilko-Sockeye,2015,216621,429012
